decade	accuracy
1790	0.726875
1790	0.72375
1790	0.72125
1790	0.735
1790	0.7275
1790	0.7125
1790	0.7175
1790	0.7275
1790	0.7225
1790	0.71875
1790	0.72125
1790	0.72625
1790	0.71625
1790	0.730625
1790	0.738125
1800	0.753125
1800	0.755625
1800	0.74625
1800	0.763125
1800	0.7675
1800	0.774375
1800	0.761875
1800	0.76
1800	0.744375
1800	0.76
1800	0.7575
1800	0.7575
1800	0.745
1800	0.76125
1800	0.765
1810	0.73875
1810	0.718397997496871
1810	0.7403003754693367
1810	0.714017521902378
1810	0.761875
1810	0.7359198998748435
1810	0.7484355444305382
1810	0.723125
1810	0.739375
1810	0.73625
1810	0.760625
1810	0.73875
1810	0.7603254067584481
1810	0.703125
1810	0.73625
1820	0.728125
1820	0.730625
1820	0.729375
1820	0.736875
1820	0.730625
1820	0.730625
1820	0.73875
1820	0.740625
1820	0.741875
1820	0.731875
1820	0.775
1820	0.739375
1820	0.731875
1820	0.73
1820	0.73
1830	0.771875
1830	0.750625
1830	0.76625
1830	0.7479674796747967
1830	0.7517198248905566
1830	0.73625
1830	0.758599124452783
1830	0.7454659161976235
1830	0.74875
1830	0.746875
1830	0.751875
1830	0.7525
1830	0.7435897435897436
1830	0.755
1830	0.7460913070669168
1840	0.7525
1840	0.7678347934918648
1840	0.735625
1840	0.7428035043804756
1840	0.7584480600750939
1840	0.758125
1840	0.765
1840	0.75125
1840	0.76875
1840	0.7525
1840	0.7525
1840	0.736875
1840	0.735
1840	0.7625
1840	0.765625
1850	0.7425
1850	0.73125
1850	0.736875
1850	0.765625
1850	0.73875
1850	0.731875
1850	0.715625
1850	0.743125
1850	0.735
1850	0.735625
1850	0.74375
1850	0.73375
1850	0.74125
1850	0.733125
1850	0.73875
1860	0.741875
1860	0.725625
1860	0.7442151344590369
1860	0.7425
1860	0.730625
1860	0.738125
1860	0.723125
1860	0.7191994996873046
1860	0.73375
1860	0.75
1860	0.7116948092557849
1860	0.7504690431519699
1860	0.763125
1860	0.7273295809881176
1860	0.7575
1870	0.7225
1870	0.744375
1870	0.728125
1870	0.73
1870	0.740625
1870	0.725625
1870	0.736875
1870	0.73125
1870	0.733125
1870	0.755
1870	0.72375
1870	0.731875
1870	0.7325
1870	0.72875
1870	0.74125
1880	0.734375
1880	0.74
1880	0.735625
1880	0.73625
1880	0.724375
1880	0.725625
1880	0.738125
1880	0.740625
1880	0.75125
1880	0.736875
1880	0.75125
1880	0.72625
1880	0.735625
1880	0.748125
1880	0.7275
1890	0.714375
1890	0.725625
1890	0.730625
1890	0.74625
1890	0.7575
1890	0.73375
1890	0.72625
1890	0.74
1890	0.71
1890	0.73125
1890	0.731875
1890	0.725
1890	0.7275
1890	0.74375
1890	0.7275
1900	0.7296620775969962
1900	0.7133917396745932
1900	0.7425
1900	0.74875
1900	0.7525
1900	0.7290362953692116
1900	0.74625
1900	0.73375
1900	0.7559449311639549
1900	0.7384230287859824
1900	0.7396745932415519
1900	0.75125
1900	0.705
1900	0.7275
1900	0.7265331664580726
1910	0.71375
1910	0.751875
1910	0.7125
1910	0.715
1910	0.720625
1910	0.70875
1910	0.730625
1910	0.715625
1910	0.708125
1910	0.728125
1910	0.711875
1910	0.726875
1910	0.725625
1910	0.71
1910	0.73125
1920	0.7329580988117573
1920	0.7085678549093183
1920	0.69375
1920	0.725625
1920	0.71
1920	0.723125
1920	0.7004377736085053
1920	0.71375
1920	0.724202626641651
1920	0.6923076923076923
1920	0.71875
1920	0.7225
1920	0.705
1920	0.694375
1920	0.7185741088180112
1930	0.7025
1930	0.705625
1930	0.72875
1930	0.71375
1930	0.701875
1930	0.71625
1930	0.703125
1930	0.70125
1930	0.71875
1930	0.721875
1930	0.69
1930	0.700625
1930	0.726875
1930	0.72375
1930	0.725
1940	0.71125
1940	0.713125
1940	0.715625
1940	0.7075
1940	0.706875
1940	0.7
1940	0.715625
1940	0.718125
1940	0.70625
1940	0.73
1940	0.739375
1940	0.731875
1940	0.699375
1940	0.714375
1940	0.696875
1950	0.685
1950	0.70125
1950	0.6925
1950	0.70625
1950	0.705625
1950	0.716875
1950	0.6825
1950	0.695625
1950	0.700625
1950	0.698125
1950	0.716875
1950	0.696875
1950	0.695625
1950	0.6925
1950	0.688125
1960	0.680625
1960	0.68125
1960	0.694375
1960	0.681875
1960	0.69375
1960	0.684375
1960	0.69625
1960	0.72375
1960	0.704375
1960	0.6825
1960	0.68125
1960	0.6875
1960	0.69
1960	0.69375
1960	0.694375
1970	0.703125
1970	0.693125
1970	0.675
1970	0.693125
1970	0.681875
1970	0.699375
1970	0.6975
1970	0.7075
1970	0.695
1970	0.705625
1970	0.678125
1970	0.720625
1970	0.67875
1970	0.70125
1970	0.685
1980	0.661875
1980	0.65125
1980	0.655
1980	0.65375
1980	0.654375
1980	0.678125
1980	0.65375
1980	0.656875
1980	0.67375
1980	0.650625
1980	0.64875
1980	0.650625
1980	0.681875
1980	0.686875
1980	0.683125
1990	0.63375
1990	0.646875
1990	0.689375
1990	0.666875
1990	0.659375
1990	0.676875
1990	0.661875
1990	0.66625
1990	0.674375
1990	0.6525
1990	0.63125
1990	0.650625
1990	0.670625
1990	0.65
1990	0.679375
2000	0.67
2000	0.6625
2000	0.66875
2000	0.69125
2000	0.6825
2000	0.688125
2000	0.67125
2000	0.651875
2000	0.666875
2000	0.65375
2000	0.664375
2000	0.67875
2000	0.66875
2000	0.676875
2000	0.66
